Date,CommodityContract,Value (Rs. In Lakhs),Traded Contracts (in Lots),SegmentName
17-Nov-15,GOLD         ,472388.62,18750,PRECIOUS METAL PRODUCTS
18-Nov-15,GOLD         ,318484.93,12692,PRECIOUS METAL PRODUCTS
19-Nov-15,GOLD         ,439554.66,17402,PRECIOUS METAL PRODUCTS
20-Nov-15,GOLD         ,398682.11,15722,PRECIOUS METAL PRODUCTS
23-Nov-15,GOLD         ,372077.36,14786,PRECIOUS METAL PRODUCTS
24-Nov-15,GOLD         ,347323.33,13742,PRECIOUS METAL PRODUCTS
25-Nov-15,GOLD         ,190543.7,7555,PRECIOUS METAL PRODUCTS
26-Nov-15,GOLD         ,232810.28,9198,PRECIOUS METAL PRODUCTS
27-Nov-15,GOLD         ,495640.9,19692,PRECIOUS METAL PRODUCTS
30-Nov-15,GOLD         ,442195.13,17632,PRECIOUS METAL PRODUCTS
1-Dec-15,GOLD         ,438090.71,17292,PRECIOUS METAL PRODUCTS
2-Dec-15,GOLD         ,371858.74,14760,PRECIOUS METAL PRODUCTS
3-Dec-15,GOLD         ,462140.49,18431,PRECIOUS METAL PRODUCTS
4-Dec-15,GOLD         ,622424.64,24455,PRECIOUS METAL PRODUCTS
7-Dec-15,GOLD         ,236964.1,9246,PRECIOUS METAL PRODUCTS
8-Dec-15,GOLD         ,377105.28,14798,PRECIOUS METAL PRODUCTS
9-Dec-15,GOLD         ,408524.43,15965,PRECIOUS METAL PRODUCTS
10-Dec-15,GOLD         ,267822.93,10518,PRECIOUS METAL PRODUCTS
11-Dec-15,GOLD         ,479511.75,18831,PRECIOUS METAL PRODUCTS
14-Dec-15,GOLD         ,351358.37,13788,PRECIOUS METAL PRODUCTS
15-Dec-15,GOLD         ,352985.85,13951,PRECIOUS METAL PRODUCTS
16-Dec-15,GOLD         ,355547.41,14022,PRECIOUS METAL PRODUCTS
17-Dec-15,GOLD         ,551025.55,22012,PRECIOUS METAL PRODUCTS
18-Dec-15,GOLD         ,428452.14,17140,PRECIOUS METAL PRODUCTS
21-Dec-15,GOLD         ,392858.83,15555,PRECIOUS METAL PRODUCTS
22-Dec-15,GOLD         ,307586.04,12148,PRECIOUS METAL PRODUCTS
23-Dec-15,GOLD         ,305193.21,12134,PRECIOUS METAL PRODUCTS
24-Dec-15,GOLD         ,134001.32,5323,PRECIOUS METAL PRODUCTS
28-Dec-15,GOLD         ,204160.45,8117,PRECIOUS METAL PRODUCTS
29-Dec-15,GOLD         ,279462.99,11090,PRECIOUS METAL PRODUCTS
30-Dec-15,GOLD         ,318306.66,12686,PRECIOUS METAL PRODUCTS
31-Dec-15,GOLD         ,209442.1,8401,PRECIOUS METAL PRODUCTS
1-Jan-16,GOLD         ,49567.29,1985,PRECIOUS METAL PRODUCTS
4-Jan-16,GOLD         ,517082.77,20426,PRECIOUS METAL PRODUCTS
5-Jan-16,GOLD         ,371804.76,14632,PRECIOUS METAL PRODUCTS
6-Jan-16,GOLD         ,581346.66,22678,PRECIOUS METAL PRODUCTS
7-Jan-16,GOLD         ,611297.99,23524,PRECIOUS METAL PRODUCTS
8-Jan-16,GOLD         ,589572.76,22730,PRECIOUS METAL PRODUCTS
11-Jan-16,GOLD         ,449038.57,17277,PRECIOUS METAL PRODUCTS
12-Jan-16,GOLD         ,467599.21,18134,PRECIOUS METAL PRODUCTS
13-Jan-16,GOLD         ,413147.05,16125,PRECIOUS METAL PRODUCTS
14-Jan-16,GOLD         ,483684.81,18704,PRECIOUS METAL PRODUCTS
15-Jan-16,GOLD         ,554381.61,21345,PRECIOUS METAL PRODUCTS
18-Jan-16,GOLD         ,263119.38,10104,PRECIOUS METAL PRODUCTS
19-Jan-16,GOLD         ,393804.18,15160,PRECIOUS METAL PRODUCTS
20-Jan-16,GOLD         ,671397.55,25476,PRECIOUS METAL PRODUCTS
21-Jan-16,GOLD         ,628546.26,23871,PRECIOUS METAL PRODUCTS
22-Jan-16,GOLD         ,419979.24,16042,PRECIOUS METAL PRODUCTS
25-Jan-16,GOLD         ,384744.68,14596,PRECIOUS METAL PRODUCTS
27-Jan-16,GOLD         ,399547.35,14938,PRECIOUS METAL PRODUCTS
28-Jan-16,GOLD         ,495500.58,18517,PRECIOUS METAL PRODUCTS
29-Jan-16,GOLD         ,547616.02,20573,PRECIOUS METAL PRODUCTS
1-Feb-16,GOLD         ,366873.56,13665,PRECIOUS METAL PRODUCTS
2-Feb-16,GOLD         ,315333.23,11696,PRECIOUS METAL PRODUCTS
3-Feb-16,GOLD         ,501424.23,18481,PRECIOUS METAL PRODUCTS
4-Feb-16,GOLD         ,423702.05,15506,PRECIOUS METAL PRODUCTS
5-Feb-16,GOLD         ,588910.79,21460,PRECIOUS METAL PRODUCTS
